target_time,prediction,actual,best_alpha,best_l1_ratio,coefs
2018-07-03 17:45:00,1883.0061376269475,1864.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 18:00:00,1503.9844295854848,1514.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 18:15:00,1180.6875292057834,1117.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 18:30:00,909.6785912588618,869.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 18:45:00,675.9526209682891,673.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 19:00:00,491.3891388077834,582.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 19:15:00,383.70285142704734,432.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 19:30:00,238.62862660706492,293.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 19:45:00,165.1102075788358,172.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 20:00:00,99.4731313975667,87.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 20:15:00,44.86470803115435,22.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 20:30:00,19.02162605281319,2.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 20:45:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 21:00:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 21:15:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 21:30:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 21:45:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 22:00:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 22:15:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 22:30:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 22:45:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 23:00:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 23:15:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 23:30:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-03 23:45:00,17.03616724759786,0.0,0.1,0.5,"[350.62756272 338.08640204 341.73650128 327.3046366  374.83876719
 349.32248829]"
2018-07-05 00:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 00:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 00:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 00:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 01:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 01:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 01:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 01:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 02:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 02:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 02:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 02:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 03:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 03:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 03:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 03:45:00,19.355565023938198,3.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 04:00:00,41.9489308652544,25.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 04:15:00,95.5428498595677,77.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 04:30:00,166.18020057727676,146.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 04:45:00,255.2926603639612,230.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 05:00:00,368.28117057542227,345.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 05:15:00,523.1718796508419,493.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 05:30:00,722.157120980394,681.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 05:45:00,971.2119124650305,925.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 06:00:00,1242.0697556047048,1234.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 06:15:00,1538.6239484478742,1479.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 06:30:00,1846.7751317424945,1788.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 06:45:00,2203.0749720797403,2117.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 07:00:00,2547.181747011727,2391.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 07:15:00,2813.285512814042,2628.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 07:30:00,3206.6695155200596,2959.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 07:45:00,3492.1809306407445,3328.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 08:00:00,3797.8661793760275,3675.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 08:15:00,4111.656894254949,3999.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 08:30:00,4371.519502437511,4301.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 08:45:00,4735.364933779316,4554.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 09:00:00,4937.798069357904,4814.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 09:15:00,5213.246295832848,5107.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 09:30:00,5423.970137513575,5353.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 09:45:00,5649.549851053375,5575.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 10:00:00,5835.411584420602,5753.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 10:15:00,6139.042966172986,6579.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 10:30:00,6287.045437738783,6855.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 10:45:00,6308.958727960116,6765.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 11:00:00,6419.469025996932,6749.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 11:15:00,6522.613364706331,6906.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 11:30:00,6626.731088994925,6818.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 11:45:00,6518.437739700145,6869.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 12:00:00,6605.0371937793725,6960.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 12:15:00,6541.957268208957,6906.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 12:30:00,6464.169485625764,6747.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 12:45:00,6404.040765982389,6643.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 13:00:00,6320.401114414882,6421.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 13:15:00,6170.462301392611,6091.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 13:30:00,5971.117192181619,5894.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 13:45:00,5774.663873659419,5556.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 14:00:00,5644.443630988108,5420.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 14:15:00,5496.6320418997475,5091.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 14:30:00,5252.08145436262,4723.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 14:45:00,5043.784866540012,4785.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 15:00:00,4716.013290568311,4366.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 15:15:00,4497.189955959169,3927.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 15:30:00,4356.695609416503,3832.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 15:45:00,3813.27525277075,3637.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 16:00:00,3608.76057441381,3273.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 16:15:00,3579.0815960174714,2976.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 16:30:00,3096.840036991719,2756.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 16:45:00,2792.11248298077,2368.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 17:00:00,2399.4037662177675,2074.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 17:15:00,2087.0910867484436,1849.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 17:30:00,1738.8485842055502,1567.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 17:45:00,1591.659531179128,1285.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 18:00:00,1303.0231293359948,1039.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 18:15:00,1101.8115382046037,815.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 18:30:00,807.0244074412523,630.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 18:45:00,652.4315552312921,495.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 19:00:00,523.3475860810463,394.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 19:15:00,336.8874983111,247.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 19:30:00,234.88436711121767,162.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 19:45:00,154.5242219217689,97.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 20:00:00,85.45729084904701,45.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 20:15:00,39.08452246077991,13.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 20:30:00,17.367264305567687,1.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 20:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 21:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 21:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 21:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 21:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 22:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 22:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 22:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 22:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 23:00:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 23:15:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 23:30:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-05 23:45:00,16.37311394638232,0.0,0.1,0.5,"[355.14386964 342.91954233 345.90236692 332.10438851 379.47033123
 353.03574313]"
2018-07-07 00:00:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 00:15:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 00:30:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 00:45:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 01:00:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 01:15:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 01:30:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 01:45:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 02:00:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 02:15:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 02:30:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 02:45:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 03:00:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 03:15:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 03:30:00,16.525440938064094,0.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 03:45:00,18.512862964674923,2.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 04:00:00,38.47415599756005,24.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 04:15:00,92.79944258181263,75.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 04:30:00,161.84386624908257,144.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 04:45:00,243.85863297466767,223.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 05:00:00,350.911757873178,347.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 05:15:00,481.6417920118952,492.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 05:30:00,686.0880443073947,720.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 05:45:00,954.0399601015783,1055.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 06:00:00,1339.0232781475638,1467.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 06:15:00,1553.7987835179395,1831.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 06:30:00,1995.5960633571494,2153.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 06:45:00,2389.0259043397878,2570.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
2018-07-07 07:00:00,2786.0339054195038,2976.0,0.1,0.5,"[358.83072263 346.47641758 348.56105496 334.39073748 382.51401221
 355.8189527 ]"
