datetime,HR,A1,A2,A3,A4,A5,A6,A7
2017-10-25 21:00:00,67.53,64.91842,67.332886,65.11528,65.297424,66.527306,66.20665,65.160576
2017-10-25 22:00:00,55.790000000000006,63.202927,67.69881,65.43889,67.19999,67.416985,65.66686,66.47982
2017-10-25 23:00:00,53.33,54.898014,56.785492,55.122883,55.789448,56.749798,55.159138,55.668865
2017-10-26 00:00:00,52.98,52.71138,52.955803,53.12531,51.62,54.10728,51.187614,53.793106
2017-10-26 01:00:00,53.05,53.163017,51.83018,51.697247,51.40524,53.309258,51.520233,52.33695
2017-10-26 02:00:00,52.97,53.99822,52.947624,52.12281,53.586018,53.064972,50.962254,53.495586
2017-10-26 03:00:00,53.08,55.546974,54.34535,53.513786,54.434635,53.253304,51.53951,55.252796
2017-10-26 04:00:00,58.1,56.303917,57.099747,55.33619,55.02242,56.318157,56.046474,56.686096
2017-10-26 05:00:00,71.36,63.707073,63.6075,62.75057,60.613785,62.578453,63.59848,62.89201
2017-10-26 06:00:00,73.67,73.34363,74.31982,72.73215,70.47194,72.16093,75.289,73.17273
2017-10-26 07:00:00,73.66,74.0837,74.89459,72.24138,74.18068,72.98957,76.238266,72.46121
2017-10-26 08:00:00,71.91,73.51031,73.1597,71.35588,72.87765,72.25864,72.56512,72.29113
2017-10-26 09:00:00,70.01,71.28901,71.20732,69.939735,71.24096,71.78124,71.947395,70.111404
2017-10-26 10:00:00,66.72,69.37801,68.99453,69.04163,68.09325,69.63568,68.50788,69.4098
2017-10-26 11:00:00,67.47,66.4269,67.70831,66.37651,66.99576,67.61621,66.092285,67.831696
2017-10-26 12:00:00,64.35,66.60393,68.404396,66.60509,66.375175,68.6652,66.94972,67.28103
2017-10-26 13:00:00,63.870000000000005,64.054016,65.54668,64.592545,63.262703,65.29086,63.77315,63.266285
2017-10-26 14:00:00,65.02,63.56873,65.58447,64.63768,62.71846,65.91616,63.128304,63.973083
2017-10-26 15:00:00,68.15,68.028854,65.95739,66.51888,63.419933,67.3049,64.14912,65.534134
2017-10-26 16:00:00,76.7,70.9502,69.599396,69.590706,68.86162,71.097305,68.94254,68.21328
2017-10-26 17:00:00,78.94,76.52497,76.95273,76.32855,78.907,79.057144,77.74571,76.003296
2017-10-26 18:00:00,78.89,76.29583,77.67328,75.74715,79.20245,78.94574,77.059845,75.89342
2017-10-26 19:00:00,77.35,75.018394,76.984665,74.02116,76.399445,78.329025,74.751526,74.48016
2017-10-26 20:00:00,72.3,73.16437,74.15954,71.49149,72.56153,74.90759,71.81704,71.38502
2017-10-26 21:00:00,67.67,67.44947,68.060165,66.60699,67.952614,67.952255,66.733116,67.30968
2017-10-26 22:00:00,65.15,62.787533,64.98174,63.588577,66.9308,64.98199,63.23737,65.26266
2017-10-26 23:00:00,59.42,61.564533,62.191486,60.963005,63.710464,63.169426,60.66795,62.16339
2017-10-27 00:00:00,56.43,57.547024,56.77312,57.407402,56.91806,57.676994,57.182606,58.56774
2017-10-27 01:00:00,55.17,55.318913,55.50584,55.20131,54.606434,55.823982,54.036865,55.580708
2017-10-27 02:00:00,54.3,54.73,54.88999,54.290676,54.25413,55.28525,54.433178,55.106792
2017-10-27 03:00:00,54.16,55.78791,54.803005,54.073906,55.541836,55.180283,54.2896,56.11991
2017-10-27 04:00:00,58.7,57.14414,58.22452,55.71992,56.77067,58.4919,58.182858,57.383484
2017-10-27 05:00:00,69.5,65.68923,64.20956,61.888176,61.486614,63.55382,63.88965,63.49631
2017-10-27 06:00:00,73.06,71.878654,73.47317,70.417206,71.496,71.90083,72.884766,72.69092
2017-10-27 07:00:00,73.71,73.32857,74.68213,71.63678,73.91905,71.96022,72.43431,73.26437
2017-10-27 08:00:00,71.33,72.397835,72.49053,71.166046,71.62452,71.34268,73.7639,71.83798
2017-10-27 09:00:00,70.74,69.69486,70.66852,68.83756,69.522156,71.126854,69.180954,69.406136
2017-10-27 10:00:00,67.15,69.258125,69.73096,69.40676,67.49094,69.19106,68.82426,69.76267
2017-10-27 11:00:00,67.53,65.4862,68.16481,66.50969,67.3405,66.53943,65.04206,67.63759
2017-10-27 12:00:00,64.42,66.27637,68.26557,66.26052,65.81446,67.99472,64.846466,66.96084
2017-10-27 13:00:00,58.620000000000005,63.21428,65.724434,63.80731,62.45664,65.02869,63.51239,63.348076
2017-10-27 14:00:00,56.59,60.034878,61.627033,60.388298,57.121273,60.854534,59.109283,58.623024
2017-10-27 15:00:00,61.49,60.603874,60.796288,61.186207,57.80439,59.269573,58.81387,57.387775
2017-10-27 16:00:00,67.33,68.037445,66.18068,66.4211,64.44069,66.809296,63.46951,62.694973
2017-10-27 17:00:00,72.84,71.53827,70.67978,70.66915,71.463974,70.52075,68.51282,67.789635
2017-10-27 18:00:00,71.51,75.021515,73.39278,72.87993,72.93537,74.03257,72.4066,71.55435
2017-10-27 19:00:00,63.97,70.91759,71.20115,70.17755,70.95833,72.15335,69.19719,68.32229
2017-10-27 20:00:00,58.25,64.30238,63.540337,62.043373,62.869,64.124725,61.821568,60.691345
2017-10-27 21:00:00,55.78,58.043972,56.812004,57.471725,55.953716,58.21344,56.533497,56.439785
2017-10-27 22:00:00,54.31000000000001,54.824924,55.33978,54.047504,53.71673,55.65143,55.49328,55.189342
2017-10-27 23:00:00,52.959999999999994,53.629948,51.815434,52.05154,52.896122,53.665558,53.097458,53.071556
2017-10-28 00:00:00,50.07,52.462486,50.202236,50.56176,49.585567,49.83223,50.299934,51.25754
2017-10-28 01:00:00,50.2,49.695667,48.366024,49.4089,48.020332,50.04743,46.54774,48.49787
2017-10-28 02:00:00,49.51,49.833206,49.17899,49.32787,48.38914,48.835796,47.008263,49.147526
2017-10-28 03:00:00,50.23,50.817596,49.946842,48.296288,50.27819,49.54065,49.072697,49.971916
2017-10-28 04:00:00,52.02,52.733124,51.934025,51.205162,53.12065,52.105125,54.28462,52.099545
2017-10-28 05:00:00,55.35,54.977844,53.62925,53.56837,53.76951,54.49183,55.8604,54.29602
2017-10-28 06:00:00,56.51,59.676693,58.043716,56.3638,57.240154,59.14415,59.84571,56.473473
2017-10-28 07:00:00,63.4,59.285233,57.48552,56.70301,57.88725,58.6537,59.21529,57.385975
2017-10-28 08:00:00,63.75,64.73079,61.88844,60.280495,61.50644,62.242855,63.0058,61.917362
2017-10-28 09:00:00,60.78,63.672497,62.372307,62.3042,63.364002,63.696037,61.706715,62.137844
2017-10-28 10:00:00,60.370000000000005,60.12453,60.080387,59.006863,60.0633,60.180206,59.310658,59.279213
2017-10-28 11:00:00,62.10999999999999,59.310577,60.525238,59.683193,62.070942,61.51751,57.64759,60.209633
2017-10-28 12:00:00,58.68999999999999,60.593227,60.348854,59.49379,60.046413,60.430458,58.274193,60.71693
2017-10-28 13:00:00,55.67,57.510246,56.742836,55.410263,57.119896,55.655895,55.21732,57.082916
2017-10-28 14:00:00,54.459999999999994,54.97814,55.241077,53.439205,54.21926,53.669342,53.952682,55.41998
2017-10-28 15:00:00,54.33,55.07286,55.19308,55.160828,54.656498,54.484993,54.624344,55.780243
