"Datum;""Von"";""bis"";""MW"";""Onshore MW"";""Offshore MW"";",
02.01.2013;19:15;19:30;4489,1;0;0;
02.01.2013;19:30;19:45;4491,01;0;0;
02.01.2013;19:45;20:00;4493,27;0;0;
02.01.2013;20:00;20:15;4501,46;0;0;
02.01.2013;20:15;20:30;4509,03;0;0;
02.01.2013;20:30;20:45;4517,27;0;0;
02.01.2013;20:45;21:00;4524,69;0;0;
02.01.2013;21:00;21:15;4529,22;0;0;
02.01.2013;21:15;21:30;4533,24;0;0;
02.01.2013;21:30;21:45;4537,77;0;0;
02.01.2013;21:45;22:00;4542,81;0;0;
02.01.2013;22:00;22:15;4542,09;0;0;
02.01.2013;22:15;22:30;4547,3;0;0;
02.01.2013;22:30;22:45;4552,45;0;0;
02.01.2013;22:45;23:00;4557,8;0;0;
02.01.2013;23:00;23:15;4557,96;0;0;
02.01.2013;23:15;23:30;4559,86;0;0;
02.01.2013;23:30;23:45;4560,33;0;0;
02.01.2013;23:45;00:00;4561,35;0;0;
03.01.2013;00:00;00:15;4747,63;0;0;
03.01.2013;00:15;00:30;4772,25;0;0;
03.01.2013;00:30;00:45;4796,14;0;0;
03.01.2013;00:45;01:00;4820,66;0;0;
03.01.2013;01:00;01:15;4862,17;0;0;
03.01.2013;01:15;01:30;4924,58;0;0;
03.01.2013;01:30;01:45;4986,54;0;0;
03.01.2013;01:45;02:00;5048,65;0;0;
03.01.2013;02:00;02:15;5107,46;0;0;
03.01.2013;02:15;02:30;5186,67;0;0;
03.01.2013;02:30;02:45;5266,24;0;0;
03.01.2013;02:45;03:00;5344,93;0;0;
03.01.2013;03:00;03:15;5426,56;0;0;
03.01.2013;03:15;03:30;5536,51;0;0;
03.01.2013;03:30;03:45;5645,33;0;0;
03.01.2013;03:45;04:00;5753,99;0;0;
03.01.2013;04:00;04:15;5865,95;0;0;
03.01.2013;04:15;04:30;6012,16;0;0;
03.01.2013;04:30;04:45;6157,6;0;0;
03.01.2013;04:45;05:00;6302,11;0;0;
03.01.2013;05:00;05:15;6441,88;0;0;
03.01.2013;05:15;05:30;6593,39;0;0;
03.01.2013;05:30;05:45;6744,23;0;0;
03.01.2013;05:45;06:00;6894,82;0;0;
03.01.2013;06:00;06:15;7045,56;0;0;
03.01.2013;06:15;06:30;7176,42;0;0;
03.01.2013;06:30;06:45;7306,25;0;0;
03.01.2013;06:45;07:00;7436,29;0;0;
03.01.2013;07:00;07:15;7560,77;0;0;
03.01.2013;07:15;07:30;7633,43;0;0;
03.01.2013;07:30;07:45;7705,12;0;0;
03.01.2013;07:45;08:00;7775,06;0;0;
03.01.2013;08:00;08:15;7841,29;0;0;
03.01.2013;08:15;08:30;7873,47;0;0;
03.01.2013;08:30;08:45;7903,81;0;0;
03.01.2013;08:45;09:00;7933,68;0;0;
03.01.2013;09:00;09:15;7961,8;0;0;
03.01.2013;09:15;09:30;7977,04;0;0;
03.01.2013;09:30;09:45;7992,34;0;0;
03.01.2013;09:45;10:00;8006,6;0;0;
03.01.2013;10:00;10:15;8027,72;0;0;
03.01.2013;10:15;10:30;8030,4;0;0;
03.01.2013;10:30;10:45;8033,38;0;0;
03.01.2013;10:45;11:00;8035,91;0;0;
03.01.2013;11:00;11:15;8043,37;0;0;
03.01.2013;11:15;11:30;8040,59;0;0;
03.01.2013;11:30;11:45;8036,52;0;0;
03.01.2013;11:45;12:00;8033,12;0;0;
03.01.2013;12:00;12:15;8020,46;0;0;
03.01.2013;12:15;12:30;7983,68;0;0;
03.01.2013;12:30;12:45;7946,19;0;0;
03.01.2013;12:45;13:00;7908,24;0;0;
03.01.2013;13:00;13:15;7875,17;0;0;
03.01.2013;13:15;13:30;7859,42;0;0;
03.01.2013;13:30;13:45;7841,75;0;0;
03.01.2013;13:45;14:00;7824,5;0;0;
03.01.2013;14:00;14:15;7799,47;0;0;
03.01.2013;14:15;14:30;7782,17;0;0;
03.01.2013;14:30;14:45;7764,66;0;0;
03.01.2013;14:45;15:00;7746,48;0;0;
03.01.2013;15:00;15:15;7721,6;0;0;
03.01.2013;15:15;15:30;7702,65;0;0;
03.01.2013;15:30;15:45;7683,59;0;0;
03.01.2013;15:45;16:00;7663,56;0;0;
03.01.2013;16:00;16:15;7654,75;0;0;
03.01.2013;16:15;16:30;7657,38;0;0;
03.01.2013;16:30;16:45;7658,67;0;0;
03.01.2013;16:45;17:00;7659,18;0;0;
03.01.2013;17:00;17:15;7666,55;0;0;
03.01.2013;17:15;17:30;7669,59;0;0;
03.01.2013;17:30;17:45;7672,93;0;0;
03.01.2013;17:45;18:00;7675,92;0;0;
03.01.2013;18:00;18:15;7681,02;0;0;
03.01.2013;18:15;18:30;7683,23;0;0;
03.01.2013;18:30;18:45;7684,83;0;0;
03.01.2013;18:45;19:00;7685,91;0;0;
03.01.2013;19:00;19:15;7691,94;0;0;
03.01.2013;19:15;19:30;7685,29;0;0;
03.01.2013;19:30;19:45;7676,8;0;0;
03.01.2013;19:45;20:00;7668,45;0;0;
03.01.2013;20:00;20:15;7667,58;0;0;
03.01.2013;20:15;20:30;7670,67;0;0;
03.01.2013;20:30;20:45;7672,93;0;0;
03.01.2013;20:45;21:00;7673,76;0;0;
03.01.2013;21:00;21:15;7672,88;0;0;
03.01.2013;21:15;21:30;7671,8;0;0;
03.01.2013;21:30;21:45;7670,72;0;0;
03.01.2013;21:45;22:00;7668,35;0;0;
03.01.2013;22:00;22:15;7664,38;0;0;
03.01.2013;22:15;22:30;7661,71;0;0;
03.01.2013;22:30;22:45;7658,72;0;0;
03.01.2013;22:45;23:00;7654,39;0;0;
03.01.2013;23:00;23:15;7647,9;0;0;
03.01.2013;23:15;23:30;7641,57;0;0;
03.01.2013;23:30;23:45;7633,12;0;0;
03.01.2013;23:45;00:00;7624,78;0;0;
04.01.2013;00:00;00:15;7802,82;0;0;
04.01.2013;00:15;00:30;7723,25;0;0;
04.01.2013;00:30;00:45;7643,27;0;0;
04.01.2013;00:45;01:00;7562,26;0;0;
04.01.2013;01:00;01:15;7496,86;0;0;
04.01.2013;01:15;01:30;7462,71;0;0;
04.01.2013;01:30;01:45;7428,67;0;0;
04.01.2013;01:45;02:00;7393,75;0;0;
04.01.2013;02:00;02:15;7352,19;0;0;
04.01.2013;02:15;02:30;7307,49;0;0;
04.01.2013;02:30;02:45;7263,1;0;0;
04.01.2013;02:45;03:00;7217,93;0;0;
04.01.2013;03:00;03:15;7173,18;0;0;
04.01.2013;03:15;03:30;7132,08;0;0;
04.01.2013;03:30;03:45;7090,52;0;0;
04.01.2013;03:45;04:00;7047,83;0;0;
04.01.2013;04:00;04:15;6991,28;0;0;
04.01.2013;04:15;04:30;6919,54;0;0;
04.01.2013;04:30;04:45;6848,42;0;0;
04.01.2013;04:45;05:00;6776,11;0;0;
04.01.2013;05:00;05:15;6704,06;0;0;
04.01.2013;05:15;05:30;6615,43;0;0;
04.01.2013;05:30;05:45;6526,44;0;0;
04.01.2013;05:45;06:00;6437,4;0;0;
04.01.2013;06:00;06:15;6349,85;0;0;
04.01.2013;06:15;06:30;6250,86;0;0;
04.01.2013;06:30;06:45;6152,6;0;0;
04.01.2013;06:45;07:00;6053,83;0;0;
04.01.2013;07:00;07:15;5957,52;0;0;
04.01.2013;07:15;07:30;5878,88;0;0;
04.01.2013;07:30;07:45;5799,11;0;0;
04.01.2013;07:45;08:00;5719,13;0;0;
04.01.2013;08:00;08:15;5638,58;0;0;
04.01.2013;08:15;08:30;5576,63;0;0;
04.01.2013;08:30;08:45;5513,95;0;0;
04.01.2013;08:45;09:00;5451,53;0;0;
04.01.2013;09:00;09:15;5388,39;0;0;
04.01.2013;09:15;09:30;5333,13;0;0;
04.01.2013;09:30;09:45;5277,93;0;0;
04.01.2013;09:45;10:00;5222,67;0;0;
04.01.2013;10:00;10:15;5210,72;0;0;
04.01.2013;10:15;10:30;5207,83;0;0;
04.01.2013;10:30;10:45;5204,9;0;0;
04.01.2013;10:45;11:00;5203,2;0;0;
04.01.2013;11:00;11:15;5205;0;0;,
04.01.2013;11:15;11:30;5219,37;0;0;
04.01.2013;11:30;11:45;5234,56;0;0;
04.01.2013;11:45;12:00;5251,87;0;0;
04.01.2013;12:00;12:15;5258,61;0;0;
04.01.2013;12:15;12:30;5291,32;0;0;
04.01.2013;12:30;12:45;5324,48;0;0;
04.01.2013;12:45;13:00;5356,88;0;0;
04.01.2013;13:00;13:15;5408,43;0;0;
04.01.2013;13:15;13:30;5525,85;0;0;
04.01.2013;13:30;13:45;5642,75;0;0;
04.01.2013;13:45;14:00;5759,25;0;0;
04.01.2013;14:00;14:15;5866,16;0;0;
04.01.2013;14:15;14:30;6004,02;0;0;
04.01.2013;14:30;14:45;6142,25;0;0;
04.01.2013;14:45;15:00;6278,52;0;0;
04.01.2013;15:00;15:15;6400,27;0;0;
04.01.2013;15:15;15:30;6499,76;0;0;
04.01.2013;15:30;15:45;6597,51;0;0;
04.01.2013;15:45;16:00;6694,64;0;0;
04.01.2013;16:00;16:15;6773,95;0;0;
04.01.2013;16:15;16:30;6801,71;0;0;
04.01.2013;16:30;16:45;6828,23;0;0;
04.01.2013;16:45;17:00;6854,03;0;0;
04.01.2013;17:00;17:15;6883,9;0;0;
04.01.2013;17:15;17:30;6889,46;0;0;
04.01.2013;17:30;17:45;6894,05;0;0;
04.01.2013;17:45;18:00;6899,46;0;0;
04.01.2013;18:00;18:15;6904,55;0;0;
04.01.2013;18:15;18:30;6890,34;0;0;
04.01.2013;18:30;18:45;6874,79;0;0;
04.01.2013;18:45;19:00;6858,98;0;0;
04.01.2013;19:00;19:15;6851,25;0;0;
04.01.2013;19:15;19:30;6817,52;0;0;
04.01.2013;19:30;19:45;6781,67;0;0;
04.01.2013;19:45;20:00;6746,24;0;0;
04.01.2013;20:00;20:15;6717,09;0;0;
04.01.2013;20:15;20:30;6662,56;0;0;
04.01.2013;20:30;20:45;6606,78;0;0;
04.01.2013;20:45;21:00;6550,18;0;0;
04.01.2013;21:00;21:15;6488,18;0;0;
04.01.2013;21:15;21:30;6418,29;0;0;
04.01.2013;21:30;21:45;6347,89;0;0;
04.01.2013;21:45;22:00;6276,51;0;0;
04.01.2013;22:00;22:15;6200,5;0;0;
04.01.2013;22:15;22:30;6128,6;0;0;
04.01.2013;22:30;22:45;6056,14;0;0;
04.01.2013;22:45;23:00;5982,24;0;0;
04.01.2013;23:00;23:15;5900,56;0;0;
04.01.2013;23:15;23:30;5812,91;0;0;
04.01.2013;23:30;23:45;5724,38;0;0;
04.01.2013;23:45;00:00;5635,85;0;0;
05.01.2013;00:00;00:15;7472,5;0;0;
05.01.2013;00:15;00:30;7330,51;0;0;
05.01.2013;00:30;00:45;7188,47;0;0;
05.01.2013;00:45;01:00;7046,54;0;0;
05.01.2013;01:00;01:15;6903,32;0;0;
05.01.2013;01:15;01:30;6737,95;0;0;
05.01.2013;01:30;01:45;6572,38;0;0;
05.01.2013;01:45;02:00;6406,29;0;0;
05.01.2013;02:00;02:15;6235,83;0;0;
05.01.2013;02:15;02:30;6063,35;0;0;
05.01.2013;02:30;02:45;5890,78;0;0;
05.01.2013;02:45;03:00;5717,99;0;0;
05.01.2013;03:00;03:15;5549,59;0;0;
05.01.2013;03:15;03:30;5401,58;0;0;
05.01.2013;03:30;03:45;5254,29;0;0;
05.01.2013;03:45;04:00;5107,1;0;0;
05.01.2013;04:00;04:15;4964,03;0;0;
05.01.2013;04:15;04:30;4846;0;0;,
05.01.2013;04:30;04:45;4727,55;0;0;
05.01.2013;04:45;05:00;4609,56;0;0;
05.01.2013;05:00;05:15;4491,11;0;0;
05.01.2013;05:15;05:30;4377,45;0;0;
05.01.2013;05:30;05:45;4263,12;0;0;
05.01.2013;05:45;06:00;4149,87;0;0;
05.01.2013;06:00;06:15;4038,48;0;0;
05.01.2013;06:15;06:30;3922,14;0;0;
05.01.2013;06:30;06:45;3806,11;0;0;
